scenario,zone_id,timestep,clps
surge,zone_3,49,0.627
surge,zone_3,50,0.627
surge,zone_3,51,0.627
surge,zone_3,52,0.627
surge,zone_3,53,0.627
surge,zone_3,54,0.627
surge,zone_3,55,0.627
surge,zone_3,56,0.627
surge,zone_3,57,0.627
surge,zone_3,58,0.627
surge,zone_3,59,0.627
surge,zone_3,60,0.627
surge,zone_3,61,0.627
surge,zone_3,62,0.627
surge,zone_3,63,0.627
surge,zone_3,64,0.627
surge,zone_3,65,0.627
surge,zone_3,66,0.627
surge,zone_3,67,0.627
surge,zone_3,68,0.627
surge,zone_3,69,0.627
surge,zone_3,70,0.627
surge,zone_3,71,0.627
surge,zone_3,72,0.627
surge,zone_3,73,0.627
surge,zone_3,74,0.627
surge,zone_3,75,0.627
surge,zone_3,76,0.627
surge,zone_3,77,0.627
surge,zone_3,78,0.627
surge,zone_3,79,0.627
surge,zone_3,80,0.737
surge,zone_3,81,0.737
surge,zone_3,82,0.737
surge,zone_3,83,0.737
surge,zone_3,84,0.737
surge,zone_3,85,0.737
surge,zone_3,86,0.737
surge,zone_3,87,0.737
surge,zone_3,88,0.737
surge,zone_3,89,0.737
surge,zone_3,90,0.737
surge,zone_3,91,0.737
surge,zone_3,92,0.737
surge,zone_3,93,0.737
surge,zone_3,94,0.737
surge,zone_3,95,0.737
surge,zone_4,0,0.525
surge,zone_4,1,0.524
surge,zone_4,2,0.524
surge,zone_4,3,0.524
surge,zone_4,4,0.524
surge,zone_4,5,0.524
surge,zone_4,6,0.524
surge,zone_4,7,0.524
surge,zone_4,8,0.524
surge,zone_4,9,0.524
surge,zone_4,10,0.524
surge,zone_4,11,0.524
surge,zone_4,12,0.524
surge,zone_4,13,0.524
surge,zone_4,14,0.524
surge,zone_4,15,0.524
surge,zone_4,16,0.524
surge,zone_4,17,0.524
surge,zone_4,18,0.524
surge,zone_4,19,0.524
surge,zone_4,20,0.524
surge,zone_4,21,0.524
surge,zone_4,22,0.524
surge,zone_4,23,0.524
surge,zone_4,24,0.609
surge,zone_4,25,0.609
surge,zone_4,26,0.609
surge,zone_4,27,0.609
surge,zone_4,28,0.609
surge,zone_4,29,0.609
surge,zone_4,30,0.609
surge,zone_4,31,0.609
surge,zone_4,32,0.609
surge,zone_4,33,0.609
surge,zone_4,34,0.609
surge,zone_4,35,0.609
surge,zone_4,36,0.609
surge,zone_4,37,0.609
surge,zone_4,38,0.609
surge,zone_4,39,0.609
surge,zone_4,40,0.609
surge,zone_4,41,0.609
surge,zone_4,42,0.609
surge,zone_4,43,0.609
surge,zone_4,44,0.609
surge,zone_4,45,0.609
surge,zone_4,46,0.609
surge,zone_4,47,0.609
surge,zone_4,48,0.609
surge,zone_4,49,0.609
surge,zone_4,50,0.609
surge,zone_4,51,0.609
surge,zone_4,52,0.609
surge,zone_4,53,0.609
surge,zone_4,54,0.609
surge,zone_4,55,0.609
surge,zone_4,56,0.609
surge,zone_4,57,0.609
surge,zone_4,58,0.609
surge,zone_4,59,0.609
surge,zone_4,60,0.609
surge,zone_4,61,0.609
surge,zone_4,62,0.609
surge,zone_4,63,0.609
surge,zone_4,64,0.609
surge,zone_4,65,0.609
surge,zone_4,66,0.609
surge,zone_4,67,0.609
surge,zone_4,68,0.609
surge,zone_4,69,0.609
surge,zone_4,70,0.609
surge,zone_4,71,0.609
surge,zone_4,72,0.609
surge,zone_4,73,0.609
surge,zone_4,74,0.609
surge,zone_4,75,0.609
surge,zone_4,76,0.609
surge,zone_4,77,0.609
surge,zone_4,78,0.609
surge,zone_4,79,0.609
surge,zone_4,80,0.524
surge,zone_4,81,0.524
surge,zone_4,82,0.524
surge,zone_4,83,0.524
surge,zone_4,84,0.524
surge,zone_4,85,0.524
surge,zone_4,86,0.524
surge,zone_4,87,0.524
surge,zone_4,88,0.524
surge,zone_4,89,0.524
surge,zone_4,90,0.524
surge,zone_4,91,0.524
surge,zone_4,92,0.524
surge,zone_4,93,0.524
surge,zone_4,94,0.524
surge,zone_4,95,0.524
surge,zone_5,0,0.693
surge,zone_5,1,0.693
surge,zone_5,2,0.693
surge,zone_5,3,0.693
surge,zone_5,4,0.693
surge,zone_5,5,0.693
surge,zone_5,6,0.693
surge,zone_5,7,0.693
surge,zone_5,8,0.693
surge,zone_5,9,0.693
surge,zone_5,10,0.693
surge,zone_5,11,0.693
surge,zone_5,12,0.693
surge,zone_5,13,0.693
surge,zone_5,14,0.693
surge,zone_5,15,0.693
