segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value
129,75.842563,17.668533,75.839273,17.670278,GI,0.05,565.60856,zone_6,Distribution Pipeline,complete,30,40,100
130,75.944072,17.668263,75.944554,17.668944,GI,0.05,108.96787,zone_2,Distribution Pipeline,complete,30,40,100
131,75.944072,17.668263,75.943997,17.667747,GI,0.05,133.48321,zone_2,Distribution Pipeline,complete,30,40,100
132,75.914905,17.686505,75.914769,17.686942,GI,0.05,50.41313,zone_2,Distribution Pipeline,complete,30,40,100
133,75.8946,17.678895,75.894646,17.678515,GI,0.05,42.38895,zone_1,Distribution Pipeline,complete,30,40,100
134,75.886974,17.679695,75.886642,17.679991,GI,0.05,48.09208,zone_1,Distribution Pipeline,complete,30,40,100
135,75.886772,17.679521,75.886438,17.679836,GI,0.05,49.7996,zone_1,Distribution Pipeline,complete,30,40,100
136,75.886572,17.679375,75.886256,17.679659,GI,0.05,45.97427,zone_1,Distribution Pipeline,complete,30,40,100
137,75.886441,17.679165,75.886227,17.679385,GI,0.05,33.25465,zone_1,Distribution Pipeline,complete,30,40,100
138,75.886035,17.679641,75.885737,17.679349,GI,0.05,45.21652,zone_1,Distribution Pipeline,complete,30,40,100
139,75.886873,17.680411,75.886686,17.680591,GI,0.05,28.08035,zone_1,Distribution Pipeline,complete,30,40,100
140,75.886744,17.680282,75.88653,17.68048,GI,0.05,31.55327,zone_1,Distribution Pipeline,complete,30,40,100
141,75.886604,17.680144,75.886362,17.680384,GI,0.05,36.95113,zone_1,Distribution Pipeline,complete,30,40,100
142,75.886469,17.68001,75.886202,17.680269,GI,0.05,40.27081,zone_1,Distribution Pipeline,complete,30,40,100
143,75.886342,17.679883,75.886014,17.680186,GI,0.05,48.3197,zone_1,Distribution Pipeline,complete,30,40,100
144,75.885737,17.679349,75.885498,17.679577,GI,0.05,35.78588,zone_1,Distribution Pipeline,complete,30,40,100
145,75.885899,17.679508,75.885607,17.679779,GI,0.05,43.11759,zone_1,Distribution Pipeline,complete,30,40,100
146,75.886028,17.679635,75.885706,17.679959,GI,0.05,49.57524,zone_1,Distribution Pipeline,complete,30,40,100
